a,ucsur,&#xF1900;,aa,aaa,a?,a!?
akesi,ucsur,&#xF1901;akesi1
ala,ucsur,&#xF1902;
alasa,ucsur,&#xF1903;
ale,ucsur,&#xF1904;
anpa,ucsur,&#xF1905;
ante,ucsur,&#xF1906;
anu,ucsur,&#xF1907;
awen,ucsur,&#xF1908;
e,ucsur,&#xF1909;
en,ucsur,&#xF190a;
esun,ucsur,&#xF190b;
ijo,ucsur,&#xF190c;
ike,ucsur,&#xF190d;
ilo,ucsur,&#xF190e;
insa,ucsur,&#xF190f;
jaki,ucsur,&#xF1910;,jaki1,jaki2,jaki3,jaki4,jaki5,jaki6,jaki7,jaki8
jan,ucsur,&#xF1911;
jelo,ucsur,&#xF1912;
jo,ucsur,&#xF1913;
kala,ucsur,&#xF1914;,kala1
kalama,ucsur,&#xF1915;
kama,ucsur,&#xF1916;
kasi,ucsur,&#xF1917;
ken,ucsur,&#xF1918;
kepeken,ucsur,&#xF1919;
kili,ucsur,&#xF191a;
kiwen,ucsur,&#xF191b;
ko,ucsur,&#xF191c;,ko1,ko2,ko3,ko4,ko5,ko6,ko7,ko8
kon,ucsur,&#xF191d;
kule,ucsur,&#xF191e;
kulupu,ucsur,&#xF191f;
kute,ucsur,&#xF1920;
la,ucsur,&#xF1921;
lape,ucsur,&#xF1922;
laso,ucsur,&#xF1923;
lawa,ucsur,&#xF1924;
len,ucsur,&#xF1925;
lete,ucsur,&#xF1926;
li,ucsur,&#xF1927;
lili,ucsur,&#xF1928;
linja,ucsur,&#xF1929;
lipu,ucsur,&#xF192a;
loje,ucsur,&#xF192b;
lon,ucsur,&#xF192c;
luka,ucsur,&#xF192d;
lukin,ucsur,&#xF192e;
lupa,ucsur,&#xF192f;
ma,ucsur,&#xF1930;
mama,ucsur,&#xF1931;
mani,ucsur,&#xF1932;
meli,ucsur,&#xF1933;,meli1
mi,ucsur,&#xF1934;
mije,ucsur,&#xF1935;,mije1
moku,ucsur,&#xF1936;
moli,ucsur,&#xF1937;
monsi,ucsur,&#xF1938;
mu,ucsur,&#xF1939;,mu1
mun,ucsur,&#xF193a;
musi,ucsur,&#xF193b;
mute,ucsur,&#xF193c;,mute1
nanpa,ucsur,&#xF193d;
nasa,ucsur,&#xF193e;
nasin,ucsur,&#xF193f;
nena,ucsur,&#xF1940;
ni,ucsur,&#xF1941;,ni&lt;v,ni&lt;,ni&lt;^,ni^,ni^&gt;,ni&gt;,ni&gt;v
nimi,ucsur,&#xF1942;
noka,ucsur,&#xF1943;
o,ucsur,&#xF1944;
olin,ucsur,&#xF1945;,olin1
ona,ucsur,&#xF1946;
open,ucsur,&#xF1947;
pakala,ucsur,&#xF1948;
pali,ucsur,&#xF1949;
palisa,ucsur,&#xF194a;
pan,ucsur,&#xF194b;
pana,ucsur,&#xF194c;,pana1
pi,ucsur,&#xF194d;
pilin,ucsur,&#xF194e;
pimeja,ucsur,&#xF194f;
pini,ucsur,&#xF1950;
pipi,ucsur,&#xF1951;
poka,ucsur,&#xF1952;
poki,ucsur,&#xF1953;
pona,ucsur,&#xF1954;
pu,ucsur,&#xF1955;
sama,ucsur,&#xF1956;
seli,ucsur,&#xF1957;
selo,ucsur,&#xF1958;
seme,ucsur,&#xF1959;
sewi,ucsur,&#xF195a;,sewi1
sijelo,ucsur,&#xF195b;
sike,ucsur,&#xF195c;
sin,ucsur,&#xF195d;
sina,ucsur,&#xF195e;
sinpin,ucsur,&#xF195f;
